trial,x_location,y_location,z_location,speed,voltage,grad,force
726,-15,0,-0.6,1,0.043535725,0,-0.62
726,-15,0,-0.6,1,0.043535725,-0.000164,-1.08
726,-15,0,-0.6,1,0.043207037,0,-1.34
726,-15,0,-0.6,1,0.043535725,0.000493,-1.56
726,-15,0,-0.6,1,0.044193102,0.000657,-2
726,-15,0,-0.6,1,0.044850478,0.000822,-2.16
726,-15,0,-0.6,1,0.045836543,0.001972,-2.48
726,-15,0,-0.6,1,0.048794737,0.000493,-2.96
726,-15,0,-0.6,1,0.046822607,-0.001808,-2.96
726,-15,0,-0.6,1,0.045179166,-0.00115,-2.54
726,-15,0,-0.6,1,0.04452179,-0.000493,-2.08
726,-15,0,-0.6,1,0.044193102,-0.000657,-1.66
726,-15,0,-0.6,1,0.043207037,-0.000329,-1.48
726,-15,0,-0.6,1,0.043535725,0.000164,-1.04
726,-15,0,-0.6,1,0.043535725,0.000164,-0.76
600,-15,0,-0.6,5,0.043864413,0.001315,-0.94
600,-15,0,-0.6,5,0.046165231,0.000986,-2.8
600,-15,0,-0.6,5,0.045836543,-0.001479,-3.12
600,-15,0,-0.6,5,0.043207037,0.00263,-1.9
117,0,0,-0.6,5,0.051095554,0.008546,-1.9
117,0,0,-0.6,5,0.060298825,0.003451,-3.4
117,0,0,-0.6,5,0.057998007,-0.008053,-3.42
117,0,0,-0.6,5,0.044193102,-0.007231,-1.46
117,0,0,-0.6,5,0.043535725,0,0
586,0,0,-0.6,3,0.044193102,0.00263,-0.86
586,0,0,-0.6,3,0.048794737,0.008382,-1.8
586,0,0,-0.6,3,0.060956201,0.008382,-3.06
586,0,0,-0.6,3,0.065557836,-0.006409,-3.46
586,0,0,-0.6,3,0.04813736,-0.010518,-2.32
586,0,0,-0.6,3,0.04452179,-0.002136,-1.44
1614,-15,0,-0.6,4,0.043864413,0.00115,-1.34
1614,-15,0,-0.6,4,0.046822607,0.000657,-2.56
1614,-15,0,-0.6,4,0.045179166,-0.001643,-3.2
1614,-15,0,-0.6,4,0.043535725,-0.000657,-1.96
1614,-15,0,-0.6,4,0.043864413,0.001643,-0.56
452,15,0,-0.5,1,0.046822607,0.00263,-0.7
452,15,0,-0.5,1,0.049123425,0.004109,-1.02
452,15,0,-0.5,1,0.055039813,0.007889,-1.32
452,15,0,-0.5,1,0.06490046,0.010189,-1.72
452,15,0,-0.5,1,0.075418483,0.010025,-1.96
452,15,0,-0.5,1,0.084950441,0.009368,-2.44
452,15,0,-0.5,1,0.094153712,0.008875,-2.78
452,15,0,-0.5,1,0.102699605,0.006081,-3.04
452,15,0,-0.5,1,0.106315176,0.001479,-3.18
452,15,0,-0.5,1,0.105657799,-0.001479,-2.68
452,15,0,-0.5,1,0.103356982,-0.005423,-2.06
452,15,0,-0.5,1,0.094811088,-0.012983,-1.82
452,15,0,-0.5,1,0.077390612,-0.020707,-1.36
452,15,0,-0.5,1,0.053396372,-0.01512,-1.04
452,15,0,-0.5,1,0.047151296,-0.005095,-0.72
1787,-15,0,-0.6,3,0.043207037,-0.001479,-0.68
1787,-15,0,-0.6,3,0.044193102,0.001808,-1.32
1787,-15,0,-0.6,3,0.046822607,0.00115,-2.74
1787,-15,0,-0.6,3,0.046493919,-0.001479,-3.14
1787,-15,0,-0.6,3,0.043864413,-0.001479,-2.38
1787,-15,0,-0.6,3,0.043535725,0.000493,-1.22
1349,-15,0,-0.6,5,0.044850478,0.001972,-1.9
1349,-15,0,-0.6,5,0.047479984,-0.000329,-2.78
1349,-15,0,-0.6,5,0.044193102,-0.001972,-2.58
1349,-15,0,-0.6,5,0.043535725,0.000164,-1.06
1893,0,0,-0.6,1,0.04452179,0.000657,-0.88
1893,0,0,-0.6,1,0.044850478,0.000822,-1.36
1893,0,0,-0.6,1,0.046165231,0.002136,-1.74
1893,0,0,-0.6,1,0.049123425,0.005423,-2.06
1893,0,0,-0.6,1,0.057011942,0.009203,-2.38
1893,0,0,-0.6,1,0.067529966,0.009368,-2.8
1893,0,0,-0.6,1,0.075747171,0.006245,-3.3
1893,0,0,-0.6,1,0.080020118,0.001972,-3.44
1893,0,0,-0.6,1,0.07969143,-0.001479,-3.1
1893,0,0,-0.6,1,0.077061924,-0.005752,-2.74
1893,0,0,-0.6,1,0.068187342,-0.014462,-2.38
1893,0,0,-0.6,1,0.04813736,-0.01134,-1.66
1893,0,0,-0.6,1,0.045507855,-0.001643,-1.44
1893,0,0,-0.6,1,0.044850478,-0.000493,-1.12
1893,0,0,-0.6,1,0.04452179,-0.000493,-0.8
1893,0,0,-0.6,1,0.043864413,-0.000329,-0.68
300,-15,0,-1.1,5,0.043864413,0.00378,-1.88
300,-15,0,-1.1,5,0.051424243,0.008875,-3.14
300,-15,0,-1.1,5,0.061613577,0.012983,-4.9
300,-15,0,-1.1,5,0.077390612,0.01627,-8.12
300,-15,0,-1.1,5,0.094153712,0.010025,-9.24
300,-15,0,-1.1,5,0.097440594,-0.003451,-7.88
300,-15,0,-1.1,5,0.087251259,-0.025966,-5.64
300,-15,0,-1.1,5,0.045507855,-0.021858,-2.58
300,-15,0,-1.1,5,0.043535725,-0.000329,-1.46
616,0,0,-0.6,3,0.044850478,0.004602,-1.14
616,0,0,-0.6,3,0.052738995,0.009039,-2.26
616,0,0,-0.6,3,0.06292833,0.004602,-3.48
